S09	6	6-ANANTNAG
S09	7	7-LEH
S09	8	8-KARGIL
S09	9	9-DODA
S10	1	1-BELGAUM
S10	10	10-UTTARA KANNADA
S10	11	11-HAVERI
S10	12	12-BELLARY
S10	13	13-CHITRADURGA
S10	14	14-DAVANGERE
S10	15	15-SHIMOGA
S10	16	16-UDUPI
S10	17	17-CHIKMAGALUR
S10	18	18-TUMKUR
S10	19	19-CHIKKABALLAPUR
S10	2	2-BAGALKOT
S10	20	20-KOLAR
S10	22	22-BANGALORE RURAL
S10	23	23-RAMANAGARAM
S10	24	24-MANDYA
S10	25	25-HASSAN
S10	26	26-DAKSHINA KANNADA
S10	27	27-KODAGU
S10	28	28-MYSORE
S10	29	29-CHAMARAJNAGAR
S10	3	3-BIJAPUR
S10	31	31-B.B.M.P(CENTRAL)
S10	32	32-B.B.M.P(NORTH)
S10	33	33-B.B.M.P(SOUTH)
S10	34	34-BANGALORE URBAN
S10	35	35-YADGIR
S10	4	4-GULBARGA
S10	5	5-BIDAR
S10	6	6-RAICHUR
S10	7	7-KOPPAL
S10	8	8-GADAG
S10	9	9-DHARWAD
S11	1	1-Kasaragod
S11	10	10-Kottayam
S11	11	11-Alappuzha
S11	12	12-Pathanamthitta
S11	13	13-Kollam
S11	14	14-Thiruvananthapuram
S11	2	2-Kannur
S11	3	3-Wayanad
S11	4	4-Kozhikode
S11	5	5-Malappuram
S11	6	6-Palakkad
S11	7	7-Thrissur
S11	8	8-Ernakulam
S11	9	9-Idukki
S12	1	1-Sheopur
S12	10	10-Tikamgarh
S12	11	11-Chhatarpur
S12	12	12-Damoh
S12	13	13-Panna
S12	14	14-Satna
S12	15	15-Rewa
S12	16	16-Sidhi
S12	17	17-Singrauli
S12	18	18-Shahdol
S12	19	19-Anuppur
S12	2	2-Morena
S12	20	20-Umaria
S12	21	21-Katni
S12	22	22-Jabalpur
S12	23	23-Dindori
S12	24	24-Mandla
S12	25	25-Balaghat
S12	26	26-Seoni
S12	27	27-Narsingpur
S12	28	28-Chhindwara
S12	29	29-Betul
S12	3	3-Bhind
S12	30	30-Harda
S12	31	31-Hoshangabad
S12	32	32-Raisen
S12	33	33-Vidisha
S12	34	34-Bhopal
S12	35	35-Sehore
S12	36	36-Rajgarh
S12	37	37-Shajapur
S12	38	38-Dewas
S12	39	39-Khandwa
S12	4	4-Gwalior
S12	40	40-Burhanpur
S12	41	41-Khargone
S12	42	42-Barwani
S12	43	43-Alirajpur
S12	44	44-Jhabua
S12	45	45-Dhar
S12	46	46-Indore
S12	47	47-Ujjain
S12	48	48-Ratlam
S12	49	49-Mandsour
S12	5	5-Datia
S12	50	50-Neemuch
S12	51	51-Agar Malwa
S12	6	6-Shivpuri
S12	7	7-Guna
S12	8	8-Ashok Nagar
S12	9	9-Sagar
S13	1	1-Nandurabar
S13	10	10-Bhandara
S13	11	11-Gondiya
S13	12	12-Gadchiroli
S13	13	13-Chandrapur
S13	14	14-Yavatmal
S13	15	15-Nanded
S13	16	16-Hingoli
S13	17	17-Parbhani
S13	18	18-Jalna
S13	19	19-Aurangabad
S13	2	2-Dhule
S13	20	20-Nashik
S13	21	21-Thane
S13	22	22-Mumbai Suburban
S13	23	23-Mumbai City
S13	24	24-Raigad
S13	25	25-Pune
S13	26	26-Ahmednagar
S13	27	27-Beed
S13	28	28-Latur
S13	29	29-Osmanabad
S13	3	3-Jalgaon
S13	30	30-Solapur
S13	31	31-Satara
S13	32	32-Ratnagiri
S13	33	33-Sindhudurg
S13	34	34-Kolhapur
S13	35	35-Sangli
S13	36	36-Palghar
S13	4	4-Buldhana
S13	5	5-Akola
S13	6	6-Washim
S13	7	7-Amravati
S13	8	8-Wardha
S13	9	9-Nagpur
S14	1	1-Imphal West
S14	2	2-Imphal East
S14	3	3-Bishnupur
S14	4	4-Thoubal
S14	5	5-Chandel
S14	6	6-Ukhrul
S14	7	7-Senapati
S14	8	8-Tamenglong
S14	9	9-Churachandpur
S15	1	1-WEST JAINTIA HILLS
S15	10	10-NORTH GARO HILLS
S15	11	11-SOUTH WEST GARO HILLS
S15	2	2-RI BHOI
S15	3	3-EAST KHASI HILLS
S15	4	4-WEST KHASI HILLS
S15	5	5-EAST GARO HILLS
S15	6	6-WEST GARO HILLS
S15	7	7-SOUTH GARO HILLS
S15	8	8-EAST JAINTIA HILLS
S15	9	9-SOUTH WEST KHASI HILLS
S16	1	1-MAMIT
S16	2	2-KOLASIB
S16	3	3-AIZAWL
S16	4	4-CHAMPHAI
S16	5	5-SERCHHIP
S16	6	6-LUNGLEI
S16	7	7-LAWNGTLAI
S16	8	8-SAIHA
S17	1	1-Dimapur
S17	10	10-Longleng
S17	11	11-Tuensang
S17	12	12-Kiphire
S17	2	2-Peren
S17	3	3-Kohima
S17	4	4-Pughoboto
S17	5	5-Phek
S17	6	6-Mokokchung
S17	7	7-Zunheboto
S17	8	8-Wokha
S17	9	9-Mon
S18	1	1-Baragarh
S18	10	10-Jajpur
S18	11	11-Dhenkanal
S18	12	12-Angul
